date,total_leads,dm_leads,organic_leads,year,month,day,dow,dow_name,week_num,is_weekend,is_saturday,is_sunday,day_of_season,temp_max,temp_min,temp_mean,precip_in,snowfall_in,snow_depth,sunshine_hrs,rain_in,wind_max_mph,solar_radiation
2022-05-06,50,4,46,2022,5,6,4,Friday,18,False,False,False,80,55.8,46.3,52.7,1.248,0.0,0.0,0.0,1.248,12.5,4.92
2022-05-07,7,1,6,2022,5,7,5,Saturday,18,True,True,False,81,48.7,40.4,45.5,1.472,0.0,0.0,0.0,1.472,17.6,3.48
2022-05-08,5,0,5,2022,5,8,6,Sunday,18,True,False,True,82,56.2,38.8,46.4,0.165,0.0,0.0,6.481569444444445,0.165,13.7,13.29
2022-05-09,82,7,75,2022,5,9,0,Monday,19,False,False,False,83,65.8,41.3,54.1,0.0,0.0,0.0,13.262094444444445,0.0,10.6,29.03
2022-05-10,59,3,56,2022,5,10,1,Tuesday,19,False,False,False,84,68.3,44.0,56.9,0.0,0.0,0.0,13.143325,0.0,11.2,28.75
2023-02-15,39,4,35,2023,2,15,2,Wednesday,7,False,False,False,0,60.4,40.5,51.2,0.0,0.0,0.0,8.010858333333333,0.0,13.0,12.02
2023-02-16,27,0,27,2023,2,16,3,Thursday,7,False,False,False,1,62.0,51.3,54.5,0.256,0.0,0.0,1.2735972222222223,0.256,9.7,5.51
2023-02-17,21,3,18,2023,2,17,4,Friday,7,False,False,False,2,58.8,32.5,49.3,0.591,0.0,0.0,0.48244444444444445,0.591,16.6,3.55
2023-02-18,8,7,1,2023,2,18,5,Saturday,7,True,True,False,3,41.4,24.5,32.5,0.0,0.0,0.0,9.823630555555555,0.0,11.9,15.54
2023-02-19,6,2,4,2023,2,19,6,Sunday,7,True,False,True,4,52.3,32.3,41.8,0.0,0.0,0.0,9.0,0.0,11.9,12.58
2023-02-20,115,29,86,2023,2,20,0,Monday,8,False,False,False,5,61.2,43.0,50.0,0.0,0.0,0.0,5.5439944444444444,0.0,13.4,9.34
2023-02-21,96,46,50,2023,2,21,1,Tuesday,8,False,False,False,6,56.3,38.8,45.8,0.138,0.0,0.0,7.7687277777777775,0.138,15.3,11.07
2023-02-22,88,43,45,2023,2,22,2,Wednesday,8,False,False,False,7,43.6,31.7,38.3,0.071,0.0,0.0,1.4497666666666666,0.071,9.0,4.31
2023-02-23,117,43,74,2023,2,23,3,Thursday,8,False,False,False,8,66.4,38.4,50.2,0.0,0.0,0.0,10.046408333333334,0.0,9.9,14.94
2023-02-24,74,27,47,2023,2,24,4,Friday,8,False,False,False,9,55.7,32.2,44.7,0.0,0.0,0.0,10.160213888888888,0.0,18.6,15.75
